,,,,,,,,,,,,,,,,,,,,,,
,violet,,yellow,,white,,blue,,green,,red,,IR,,Violet voltage,Violet current,,,,,,
,1.02 -0.10 ,,2.10 12.10 ,,2.34 0.00 ,,1.31 -0.10 ,,1.22 -0.60 ,,1.29 -0.10 ,,0.81 -0.30 ,,1.88,-0.3,,,,,,        // The command to take a current reading from the INA is ina219.getCurrent_mA()
,1.02 -0.20 ,,2.11 13.30 ,,2.36 0.10 ,,1.34 -0.20 ,,1.24 -0.20 ,,1.31 -0.30 ,,0.81 -0.20 ,,1.9,-0.1,,,,,,      
,1.03 -0.10 ,,2.13 15.20 ,,2.38 0.00 ,,1.36 -0.10 ,,1.27 -0.30 ,,1.33 -0.20 ,,0.81 -0.20 ,,1.93,0,,,,,,"       dac_LEDsupply.setVoltage(i, false);"
,1.03 -0.30 ,,2.14 16.90 ,,2.40 -0.20 ,,1.38 -0.10 ,,1.29 0.00 ,,1.36 -0.10 ,,0.81 -0.30 ,,1.95,-0.3,,,,,,        delay(10);
,1.02 -0.40 ,,2.16 18.80 ,,2.43 -0.10 ,,1.40 -0.40 ,,1.31 0.10 ,,1.38 -0.10 ,,0.82 0.00 ,,1.97,-0.1,,,,,,        voltageAcrossLED = ina219.getBusVoltage_V();  //Take a voltage reading
,1.02 -0.40 ,,2.18 21.20 ,,2.45 0.00 ,,1.43 0.00 ,,1.33 -0.10 ,,1.40 0.00 ,,0.81 -0.40 ,,2,-0.5,,,,,,        Serial.print(voltageAcrossLED); //Print the voltage reading
,1.02 -0.10 ,,2.20 23.30 ,,2.47 0.00 ,,1.45 -0.20 ,,1.36 -0.30 ,,1.42 -0.30 ,,0.81 -0.40 ,,2.02,-0.2,,,,,,"        Serial.print("" "");  //Add a space between the voltage reading and the next reading taken "
,1.02 -0.40 ,,2.22 26.20 ,,2.48 -0.10 ,,1.47 -0.10 ,,1.38 -0.10 ,,1.44 0.00 ,,0.81 0.10 ,,2.05,0,,,,,,
,1.02 -0.40 ,,2.22 28.80 ,,2.50 -0.20 ,,1.49 0.00 ,,1.40 -0.20 ,,1.47 -0.10 ,,0.82 0.00 ,,2.07,-0.1,,,,,,        currentAcrossLED = ina219.getCurrent_mA();  //Take a current reading
,1.02 0.10 ,,2.24 31.10 ,,2.52 -0.10 ,,1.52 0.20 ,,1.43 -0.10 ,,1.49 -0.10 ,,0.81 -0.40 ,,2.08,-0.1,,,,,,        Serial.print(currentAcrossLED); //Print the current reading
